cluster_label,Nilai Semester 1 - Aljabar Linier,Nilai Semester 1 - Statistika Dasar,Nilai Semester 1 - Pemrograman 1,Nilai Semester 1 - Logika dan Algoritma,Nilai Semester 1 - Basis Data,Nilai Semester 1 - Matematika 1,Nilai Semester 1 - Agama,Nilai Semester 1 - Praktikum Statistika Dasar,Nilai Semester 1 - Praktikum Pemrograman 1,Nilai Semester 1 - Praktikum Basis Data,Nilai Semester 2 - Pemodelan Statistik Terapan,Nilai Semester 2 - Pemrograman 2,Nilai Semester 2 - Kecerdasan Buatan,Nilai Semester 2 - Pemrosesan Data,Nilai Semester 2 - Manajemen Data,Nilai Semester 2 - Matematika 2,Nilai Semester 2 - Kewarganegaraan,Nilai Semester 2 - Praktikum Pemodelan Statistik Terapan,Nilai Semester 2 - Praktikum Pemrograman 2,Nilai Semester 2 - Praktikum Kecerdasan Buatan,Nilai Semester 2 - Praktikum Pemrosesan Data,Nilai Semester 2 - Praktikum Manajemen Data,Nilai Semester 3 - Matematika 3,Nilai Semester 3 - Analisa Statistika Terapan,Nilai Semester 3 - Pemrograman 3,Nilai Semester 3 - Mesin Pembelajaran,Nilai Semester 3 - Text Mining,Nilai Semester 3 - Eksplorasi dan Visualisasi Data,Nilai Semester 3 - Pancasila,Nilai Semester 3 - Praktikum Analisa Statistika Terapan,Nilai Semester 3 - Praktikum Pemrograman 3,Nilai Semester 3 - Praktikum Mesin Pembelajaran,Nilai Semester 3 - Praktikum Text Mining,Nilai Semester 3 - Praktikum Eksplorasi dan Visualisasi Data,Nilai Semester 4  - Data Mining,Nilai Semester 4  - Teknologi Web Service,Nilai Semester 4  - Machine Learning Ops,Nilai Semester 4  - Infrastruktur dan Manajemen Big Data,Nilai Semester 4  - Data Warehouse,Nilai Semester 4  - Praktikum Data Mining,Nilai Semester 4  - Praktikum Teknologi Web Service,Nilai Semester 4  - Praktikum Machine Learning Ops,Nilai Semester 4  - Praktikum Infrastruktur dan Manajemen Big Data,Nilai Semester 4  - Praktikum Data Warehouse,Nilai Semester 5  - Teknologi dan Tool Big Data,Nilai Semester 5  - Neuro Computing,Nilai Semester 5  - Workshop Analitika Data Terapan,Nilai Semester 5  - Workshop Analisis Sosial Media,Nilai Semester 5  - Ekonometrika Terapan,Nilai Semester 5  - Teknik Presentasi Data,Nilai Semester 5  - Technopreneur Sains Data,Nilai Semester 5  - Bahasa Inggris Teknik,Nilai Semester 5  - Bahasa Indonesia,Nilai Semester 5  - Praktikum Neuro Computing,Nilai Semester 1 - nilai IPS,Nilai Semester 2 - nilai IPS,Nilai Semester 3 - nilai IPS,Nilai Semester 4  - nilai IPS,Nilai Semester 5  - nilai IPS,Nilai Semester 1 - ABSENSI,Nilai Semester 2 - ABSENSI,Nilai Semester 3 - ABSENSI,Nilai Semester 4  - ABSENSI,Nilai Semester 5  - ABSENSI,jumlah_mahasiswa
Menengah,68.14285714285714,70.14285714285714,76.0,68.42857142857143,79.28571428571429,61.142857142857146,78.14285714285714,80.57142857142857,82.14285714285714,85.28571428571429,79.71428571428571,81.71428571428571,78.42857142857143,85.85714285714286,76.28571428571429,76.85714285714286,88.0,78.28571428571429,81.28571428571429,76.14285714285714,88.28571428571429,72.28571428571429,88.0,80.28571428571429,81.71428571428571,76.71428571428571,83.57142857142857,82.42857142857143,77.14285714285714,83.14285714285714,80.71428571428571,80.71428571428571,84.85714285714286,87.71428571428571,79.42857142857143,81.57142857142857,77.85714285714286,76.71428571428571,87.28571428571429,77.57142857142857,77.42857142857143,84.85714285714286,79.28571428571429,87.85714285714286,71.28571428571429,76.48571428571428,83.39285714285714,79.5,79.64285714285714,80.12857142857142,82.57142857142857,87.54285714285713,82.34285714285714,77.87142857142858,3.2314285714285718,3.6057142857142854,3.6571428571428575,3.6385714285714283,3.5785714285714287,99.15142857142857,98.55142857142857,98.90857142857143,99.55428571428571,99.21857142857142,7
Rendah/Outlier,61.666666666666664,72.66666666666667,65.0,68.66666666666667,77.66666666666667,62.333333333333336,87.33333333333333,78.66666666666667,65.0,83.33333333333333,71.0,71.66666666666667,72.33333333333333,83.33333333333333,74.0,72.33333333333333,87.33333333333333,74.33333333333333,78.66666666666667,74.0,85.0,67.0,79.0,63.666666666666664,81.0,71.33333333333333,75.0,78.66666666666667,80.0,74.0,76.66666666666667,73.0,75.33333333333333,74.66666666666667,71.66666666666667,71.66666666666667,79.0,68.66666666666667,78.33333333333333,68.66666666666667,59.666666666666664,63.333333333333336,81.33333333333333,87.33333333333333,68.25333333333334,78.78333333333333,81.66666666666667,78.0,72.5,70.86666666666666,81.5,75.16666666666667,80.2,68.66666666666667,3.0366666666666666,3.3966666666666665,3.313333333333333,3.1999999999999997,3.3433333333333333,98.43666666666667,98.44,99.77,99.48,100.0,3
Sangat Tinggi,71.0,74.57142857142857,80.92857142857143,76.64285714285714,84.0,74.42857142857143,88.07142857142857,81.85714285714286,82.07142857142857,87.42857142857143,79.5,87.0,83.92857142857143,87.28571428571429,83.42857142857143,88.35714285714286,88.0,82.85714285714286,85.64285714285714,82.28571428571429,88.07142857142857,73.57142857142857,92.85714285714286,86.14285714285714,85.71428571428571,79.14285714285714,84.64285714285714,87.0,79.35714285714286,87.78571428571429,84.5,82.07142857142857,84.57142857142857,88.0,92.71428571428571,83.35714285714286,88.71428571428571,82.85714285714286,88.71428571428571,81.0,83.42857142857143,88.42857142857143,82.0,89.28571428571429,76.80357142857143,89.95,85.89285714285714,83.66071428571429,83.42857142857143,80.71785714285714,85.30357142857143,90.62142857142858,87.55714285714285,83.14999999999999,3.5450000000000004,3.8521428571428573,3.812142857142857,3.865714285714286,3.801428571428571,99.10785714285714,98.88571428571429,99.25642857142857,99.10785714285714,98.99642857142858,14
Tinggi,62.0,67.75,63.5,62.25,80.75,58.25,86.75,79.25,76.25,84.5,70.5,69.0,80.0,88.0,80.0,85.75,88.0,76.75,80.5,81.5,85.0,68.0,88.0,78.25,82.75,70.0,79.5,85.25,77.0,78.75,82.75,77.75,79.0,89.75,90.75,79.5,85.5,78.75,89.75,75.75,81.0,84.25,82.5,88.5,75.94,90.8375,82.5,87.6875,78.125,77.0625,83.375,81.175,85.65,79.8,3.0075000000000003,3.5725,3.5675,3.775,3.6875,99.5975,97.85249999999999,98.09,99.41499999999999,98.83,4
