,count,mean,std,min,25%,50%,75%,max,cv
Nilai Semester 4  - Praktikum Teknologi Web Service,28.0,79.03571428571429,8.062175714326576,56.0,78.0,80.0,86.0,87.0,0.10200674197973074
Nilai Semester 4  - Praktikum Machine Learning Ops,28.0,84.25,8.217528690414033,56.0,86.0,87.0,89.0,90.0,0.09753743252716954
Nilai Semester 4  - Praktikum Infrastruktur dan Manajemen Big Data,28.0,81.32142857142857,3.752071738125796,78.0,78.75,79.0,86.0,88.0,0.046138782901854324
Nilai Semester 4  - Praktikum Data Warehouse,28.0,88.60714285714286,1.7286107827082526,86.0,87.0,90.0,90.0,90.0,0.019508706939069354
Nilai Semester 5  - Teknologi dan Tool Big Data,28.0,74.38464285714285,4.517362785341856,61.66,73.12,75.53,76.51249999999999,81.68,0.06072977716674043
Nilai Semester 5  - Neuro Computing,28.0,85.51428571428572,10.672818166681544,56.05,81.08749999999999,89.05,93.0625,96.3,0.12480742927960375
Nilai Semester 5  - Workshop Analitika Data Terapan,28.0,84.33035714285714,3.2001544894916805,80.0,80.0,85.0,87.5,87.5,0.03794783513214063
Nilai Semester 5  - Workshop Analisis Sosial Media,28.0,82.58928571428571,5.497143317768298,74.0,79.5,81.125,83.9375,96.75,0.06656000557730264
Nilai Semester 5  - Ekonometrika Terapan,28.0,80.55357142857143,4.673287536854158,69.5,78.125,81.5,83.5,88.0,0.05801465352778382
Nilai Semester 5  - Teknik Presentasi Data,28.0,78.99285714285715,5.289659974469308,65.45,75.08749999999999,80.25,82.4,87.8,0.06696377578675315
Nilai Semester 5  - Technopreneur Sains Data,28.0,83.9375,2.2757019674035623,77.0,82.9375,83.875,85.8125,87.25,0.02711186260495681
Nilai Semester 5  - Bahasa Inggris Teknik,28.0,86.8464285714286,7.059350622892392,72.2,84.125,88.65,90.95,97.3,0.08128544534317017
Nilai Semester 5  - Bahasa Indonesia,28.0,85.19285714285714,3.927295608131733,74.8,82.55,87.1,88.4,89.6,0.046098883636995276
Nilai Semester 5  - Praktikum Neuro Computing,28.0,79.8,5.123583815173819,65.6,78.1,80.1,82.875,86.6,0.06420531096709046
Nilai Semester 1 - nilai IPS,28.0,3.3353571428571427,0.2768136442641397,2.81,3.08,3.31,3.565,3.89,0.08299370424452202
Nilai Semester 2 - nilai IPS,28.0,3.7017857142857147,0.19189220684441322,3.13,3.61,3.725,3.87,3.93,0.051837740392123195
Nilai Semester 3 - nilai IPS,28.0,3.685,0.19003898235576513,3.0,3.6525,3.705,3.8325,3.92,0.05157095857686978
Nilai Semester 4  - nilai IPS,28.0,3.724642857142857,0.22373069364846504,3.07,3.67,3.77,3.8775,3.97,0.060067690307383466
Nilai Semester 5  - nilai IPS,28.0,3.6803571428571433,0.1724653941210009,3.3,3.61,3.745,3.8,3.87,0.04686104837834085
Nilai Semester 1 - ABSENSI,28.0,99.1167857142857,1.2316687071744599,96.09,98.44,100.0,100.0,100.0,0.01242643915759003
Nilai Semester 2 - ABSENSI,28.0,98.60678571428569,1.2085805986743563,95.31,97.66,98.83,99.41499999999999,100.0,0.012256566218234033
Nilai Semester 3 - ABSENSI,28.0,99.05785714285716,1.3264107992871625,95.83,97.92,100.0,100.0,100.0,0.01339026340307632
Nilai Semester 4  - ABSENSI,28.0,99.30321428571429,1.1314201288365473,95.31,99.22,100.0,100.0,100.0,0.011393590197203847
Nilai Semester 5  - ABSENSI,28.0,99.13571428571429,1.4312140108919933,95.31,99.025,100.0,100.0,100.0,0.014436916314207007
